City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Barrow,71.2906,-156.7887,28.42,86,20,10.36,US,few clouds
1,Verkhnyaya Inta,65.9811,60.3094,9.19,91,100,31.34,RU,light snow
2,Kavaratti,10.5669,72.642,81.9,69,6,9.55,IN,clear sky
3,Geraldton,-28.7667,114.6,61.21,77,75,19.57,AU,broken clouds
4,Lubao,14.9167,120.55,80.31,86,99,5.53,PH,overcast clouds
5,Vuktyl,63.8567,57.3094,6.51,88,100,13.13,RU,overcast clouds
6,Katangli,51.7102,143.2326,20.8,84,45,6.24,RU,scattered clouds
7,Olafsvik,64.8945,-23.7142,44.76,85,55,15.59,IS,broken clouds
8,Khatanga,71.9667,102.5,-21.75,89,100,9.17,RU,overcast clouds
9,Lagoa,39.05,-27.9833,60.82,55,13,8.34,PT,few clouds
10,Nikolskoye,59.7035,30.7861,28.29,85,10,5.86,RU,clear sky
11,Hithadhoo,-0.6,73.0833,81.07,74,30,14.03,MV,scattered clouds
12,Cape Town,-33.9258,18.4232,60.28,73,0,9.22,ZA,clear sky
13,Ushuaia,-54.8,-68.3,51.46,46,40,13.8,AR,scattered clouds
14,Hermanus,-34.4187,19.2345,55.8,63,100,4.32,ZA,overcast clouds
15,Bredasdorp,-34.5322,20.0403,59.41,65,100,1.19,ZA,overcast clouds
16,Ligayan,4.6533,119.4706,82.47,74,90,4.81,PH,overcast clouds
17,Ndele,8.4109,20.6473,70.88,34,85,4.09,CF,overcast clouds
18,Mataura,-46.1927,168.8643,58.48,68,100,2.08,NZ,overcast clouds
19,Saint George,37.1041,-113.5841,53.94,28,0,1.99,US,clear sky
20,Victor Harbor,-35.5667,138.6167,72.0,56,99,12.91,AU,overcast clouds
21,Jamestown,42.097,-79.2353,31.59,78,100,9.22,US,mist
22,Namatanai,-3.6667,152.4333,84.45,62,92,7.4,PG,overcast clouds
23,Pangnirtung,66.1451,-65.7125,-5.98,92,68,5.68,CA,broken clouds
24,Lincoln,40.8,-96.667,30.11,49,75,18.41,US,broken clouds
25,Rikitea,-23.1203,-134.9692,72.41,84,100,8.1,PF,light rain
26,Pevek,69.7008,170.3133,-7.91,100,98,3.96,RU,overcast clouds
27,Atuona,-9.8,-139.0333,78.24,76,53,15.77,PF,broken clouds
28,Bathsheba,13.2167,-59.5167,81.21,78,20,18.41,BB,few clouds
29,Jalu,29.0331,21.5482,64.96,30,0,12.26,LY,clear sky
30,Punta Arenas,-53.15,-70.9167,53.71,43,20,27.63,CL,few clouds
31,Los Llanos De Aridane,28.6585,-17.9182,64.15,67,0,7.0,ES,clear sky
32,Bocanda,7.0626,-4.4995,70.5,61,52,1.61,CI,broken clouds
33,Bluff,-46.6,168.3333,58.8,88,100,10.36,NZ,overcast clouds
34,Vaini,-21.2,-175.2,82.56,74,20,13.8,TO,few clouds
35,Mar Del Plata,-38.0023,-57.5575,60.82,87,0,15.99,AR,clear sky
36,Dunn,44.95,-91.8835,24.78,96,40,8.05,US,scattered clouds
37,Mahebourg,-20.4081,57.7,68.25,88,20,6.91,MU,few clouds
38,Rawson,-43.3002,-65.1023,67.48,65,93,16.96,AR,overcast clouds
39,Paamiut,61.994,-49.6678,16.65,68,100,5.61,GL,overcast clouds
40,Nanortalik,60.1432,-45.2371,22.64,72,82,3.6,GL,broken clouds
41,Codrington,-38.2667,141.9667,61.21,63,5,11.27,AU,clear sky
42,Carnarvon,-24.8667,113.6333,65.44,61,100,18.19,AU,light rain
43,Mill Valley,37.906,-122.545,65.25,52,66,1.99,US,broken clouds
44,Inongo,-1.95,18.2667,70.45,95,86,2.64,CD,light rain
45,Butaritari,3.0707,172.7902,80.64,76,65,14.07,KI,broken clouds
46,Klaksvik,62.2266,-6.589,47.32,81,100,34.81,FO,light rain
47,Lumby,50.2498,-118.969,31.77,69,91,2.3,CA,overcast clouds
48,Yellowknife,62.456,-114.3525,16.32,73,75,9.22,CA,broken clouds
49,Albany,42.6001,-73.9662,34.57,61,40,1.99,US,scattered clouds
50,Norman Wells,65.282,-126.8329,-0.36,85,40,3.44,CA,scattered clouds
51,Vostok,46.4856,135.8833,23.99,90,100,2.93,RU,snow
52,Bambous Virieux,-20.3428,57.7575,68.22,88,20,6.91,MU,few clouds
53,Maryville,35.7565,-83.9705,38.91,63,2,5.99,US,clear sky
54,Faanui,-16.4833,-151.75,79.52,76,27,8.77,PF,moderate rain
55,Tiksi,71.6872,128.8694,-2.22,93,100,7.23,RU,overcast clouds
56,Barcelos,41.5388,-8.6151,56.84,93,77,5.5,PT,broken clouds
57,Tasiilaq,65.6145,-37.6368,29.71,78,90,4.09,GL,overcast clouds
58,Longyearbyen,78.2186,15.6401,24.64,80,75,4.61,SJ,broken clouds
59,Tampere,61.4991,23.7871,30.81,81,100,11.5,FI,overcast clouds
60,Haines Junction,60.7522,-137.5108,10.35,85,37,1.14,CA,scattered clouds
61,Nabire,-3.3667,135.4833,76.35,95,100,1.61,ID,overcast clouds
62,Atyashevo,54.5644,46.0691,27.07,95,100,15.82,RU,light snow
63,Lebu,-37.6167,-73.65,58.12,91,100,8.72,CL,light rain
64,Pisco,-13.7,-76.2167,66.25,77,0,18.41,PE,clear sky
65,Westport,41.1415,-73.3579,43.32,56,21,8.99,US,few clouds
66,Severo-Kurilsk,50.6789,156.125,34.9,67,100,15.17,RU,overcast clouds
67,Qaanaaq,77.484,-69.3632,-17.01,74,2,7.58,GL,clear sky
68,Kununurra,-15.7667,128.7333,87.78,66,3,3.44,AU,clear sky
69,Bakel,14.905,-12.4568,80.53,18,58,9.55,SN,broken clouds
70,Pathein,16.7833,94.7333,72.77,79,89,7.23,MM,overcast clouds
71,Hasaki,35.7333,140.8333,58.21,59,97,13.0,JP,overcast clouds
72,Borovsk,55.2064,36.4861,26.33,70,100,9.71,RU,overcast clouds
73,Hvide Sande,56.0045,8.1294,42.71,69,12,31.65,DK,few clouds
74,Cherskiy,68.75,161.3,-20.16,100,100,7.0,RU,overcast clouds
75,Aksarka,66.5606,67.7975,13.91,86,88,18.88,RU,overcast clouds
76,Taunggyi,20.7833,97.0333,56.55,94,45,1.36,MM,scattered clouds
77,Esperance,-33.8667,121.9,58.46,62,68,13.15,AU,broken clouds
78,Sao Filipe,14.8961,-24.4956,78.93,73,100,2.42,CV,overcast clouds
79,Wakuya,38.5333,141.1333,40.96,59,0,4.05,JP,clear sky
80,Tabou,4.423,-7.3528,78.3,83,29,7.49,CI,light rain
81,Aklavik,68.2191,-135.0107,8.6,85,40,4.61,CA,scattered clouds
82,Hobart,-42.8794,147.3294,65.05,61,20,5.75,AU,few clouds
83,Thompson,55.7435,-97.8558,3.36,78,75,10.36,CA,broken clouds
84,Kaitangata,-46.2817,169.8464,58.73,75,100,5.82,NZ,overcast clouds
85,Raga,8.4596,25.678,71.01,33,54,4.09,SS,broken clouds
86,Victoria,22.2855,114.1577,76.17,86,0,5.01,HK,clear sky
87,Vila Franca Do Campo,37.7167,-25.4333,59.2,73,14,4.88,PT,few clouds
88,Okhotsk,59.3833,143.3,-3.21,75,1,11.9,RU,clear sky
89,Lesozavodsk,45.4794,133.4244,32.99,93,77,9.1,RU,broken clouds
90,Port Alfred,-33.5906,26.891,63.18,94,100,6.82,ZA,overcast clouds
91,Amapa,1.0,-52.0,76.77,68,100,3.49,BR,overcast clouds
92,Zelenoborskiy,66.845,32.3622,26.31,78,25,4.83,RU,scattered clouds
93,Qui Nhon,13.7667,109.2333,76.84,91,63,7.43,VN,broken clouds
94,Alihe,50.5667,123.7167,12.87,92,52,3.06,CN,broken clouds
95,Abnub,27.2696,31.1511,59.22,52,29,5.32,EG,scattered clouds
96,Mount Gambier,-37.8333,140.7667,65.88,50,4,8.55,AU,clear sky
97,Upernavik,72.7868,-56.1549,10.31,70,99,4.5,GL,overcast clouds
98,Ola,59.5833,151.2833,0.45,87,74,8.52,RU,broken clouds
99,Hilo,19.7297,-155.09,83.93,76,0,13.8,US,clear sky
100,Tuatapere,-46.1333,167.6833,55.24,93,100,4.21,NZ,overcast clouds
101,Kyren,51.6828,102.1408,12.34,84,69,1.14,RU,broken clouds
102,Port Elizabeth,-33.918,25.5701,61.09,94,75,3.44,ZA,broken clouds
